buyer_week_before,clicked_buy_before,country,existing_buyer,made_purchase_before,saw_cart_before,spend_usd_next_14_days,user_added_credit_card,user_added_dcb,user_added_fop,user_added_gift_card,user_added_paypal,user_id,visit_before
1,1,TR,1,1,1,0.05663,1,1,1,0,0,1.21E+19,1
6,1,CA,1,1,1,17.74304,1,1,1,0,0,1.08E+19,1
0,0,US,1,0,1,0.99,1,0,1,1,1,1.48E+19,1
0,1,US,1,1,1,90.71,1,0,1,0,0,4.13E+18,1
0,0,US,1,0,0,0.99,1,0,1,0,0,5.64E+18,1
0,1,US,1,1,1,1.99,0,0,1,0,1,1.37E+19,1
3,1,,1,1,1,130.325626,1,0,1,0,1,4.34E+18,1
0,0,US,1,0,1,3.98,1,0,1,0,0,2.76E+18,1
4,1,DE,1,1,1,7.387678,0,1,1,0,1,4.16E+18,1
0,0,US,1,0,0,62.95,1,0,1,0,0,1.09E+19,1
0,0,ZA,0,0,1,2.312596,1,0,1,0,0,3.82E+17,1
0,1,US,1,1,1,9.99,0,0,1,0,1,1.75E+19,1
0,0,US,1,0,1,6.99,1,0,1,0,0,4.32E+18,1
7,1,TW,1,1,1,158.018197,0,1,1,0,0,8.67E+18,1
0,1,US,1,1,1,1.99,1,1,1,1,0,3.40E+18,1
3,1,JP,1,1,1,17.337927,0,1,1,1,0,7.63E+17,1
6,1,JP,1,1,1,2212.364767,1,1,1,1,0,1.70E+18,1
0,1,US,1,0,1,5.99,1,0,1,1,1,1.50E+19,1
1,1,FR,1,1,1,10.60679,1,0,1,0,0,1.78E+19,1
8,1,TW,1,1,1,1526.155635,1,1,1,0,0,1.44E+19,1
0,1,KR,1,1,1,5.591089,0,1,1,0,0,9.69E+18,1
4,1,RU,1,1,1,3.104087,1,1,1,0,0,6.92E+18,1
1,1,DE,1,1,1,2.219753,0,1,1,0,0,1.45E+18,1
5,1,GB,1,1,1,311.89989,0,0,1,1,0,1.03E+19,1
5,1,KR,1,1,1,26.05273,0,1,1,0,0,3.69E+18,1
0,1,US,1,1,1,2.98,1,0,1,1,0,1.54E+18,1
1,1,TH,1,1,1,58.7051,0,1,1,0,0,6.07E+18,1
0,0,US,1,0,1,9.99,1,0,1,0,0,1.20E+19,1
3,1,FR,1,1,1,6.18505,1,1,1,0,0,1.68E+18,1
5,1,PT,1,1,1,2.450747,1,0,1,1,0,8.22E+18,1
5,1,JP,1,1,1,218.628303,0,0,1,1,0,1.68E+19,1
3,1,JP,1,1,1,28.392248,0,1,1,1,0,4.45E+18,1
8,1,ID,1,1,1,30.549637,0,1,1,0,0,5.93E+18,1
0,1,US,1,0,1,5.98,1,0,1,1,0,1.47E+19,1
2,1,FR,1,1,1,31.171544,1,0,1,0,0,1.53E+19,1
0,1,ID,1,0,1,0.338157,0,1,1,0,0,7.23E+18,1
4,1,JP,1,1,1,199.316546,1,1,1,1,0,1.59E+19,1
0,1,US,1,0,1,0.99,1,0,1,1,1,1.20E+19,1
0,1,US,1,1,1,3.98,1,0,1,0,0,1.83E+19,1
6,1,AU,1,1,1,75.914304,1,0,1,0,0,1.59E+17,1
0,1,US,1,1,1,2.16,1,0,1,1,0,1.35E+19,1
5,1,JP,1,1,1,17.721231,0,1,1,1,0,1.61E+19,1
0,1,US,1,0,1,38.95,1,0,1,1,0,4.38E+17,1
7,1,JP,1,1,1,423.681346,1,0,1,0,0,3.22E+18,1
0,1,US,1,1,1,14.98,0,1,1,0,0,1.82E+19,1
7,1,JP,1,1,1,183.777385,1,1,1,1,0,1.37E+19,1
3,1,DE,1,1,1,42.034665,0,1,1,0,0,1.81E+19,1
3,1,KR,1,1,1,11.761294,1,1,1,0,0,1.01E+19,1
5,1,GB,1,1,1,11.467664,0,0,1,0,1,1.62E+19,1
7,1,CH,1,1,1,72.253711,0,1,1,1,0,2.59E+18,1
4,1,CA,1,1,1,5.220607,1,0,1,1,1,1.43E+19,1
2,1,JP,1,1,1,17.969777,0,0,1,1,0,3.61E+18,1
3,1,TR,1,1,1,9.907463,0,1,1,1,0,1.47E+19,1
0,1,US,1,1,1,19.98,1,0,1,0,0,9.41E+18,1
0,1,US,1,0,1,5.97,1,0,1,0,0,1.77E+19,1
7,1,JP,1,1,1,14.105076,1,1,1,0,0,1.58E+19,1
7,1,FR,1,1,1,30.759816,0,1,1,0,0,1.59E+19,1
0,1,US,1,0,1,1.99,1,0,1,0,0,9.43E+18,1
0,1,US,1,0,1,13.22,0,0,1,1,0,1.37E+19,1
0,0,US,1,0,1,29.92,1,0,1,0,1,2.84E+18,1
5,1,DE,1,1,1,56.182858,0,1,1,0,0,1.80E+19,1
5,1,KR,1,1,1,35.391005,0,0,1,1,0,1.45E+18,1
0,1,US,1,1,1,1.99,0,0,1,1,0,1.67E+19,1
2,1,GB,1,1,1,3.807135,1,0,1,0,0,7.92E+18,1
0,0,US,1,0,1,4.99,0,0,1,1,0,8.59E+18,1
7,1,JP,1,1,1,194.625313,1,1,1,0,0,8.86E+18,1
2,1,DE,1,1,1,81.266848,0,1,1,1,1,8.17E+18,1
6,1,KR,1,1,1,36.303075,1,1,1,1,0,1.27E+19,1
3,1,JP,1,1,1,18.875631,0,1,1,0,0,1.36E+19,1
3,1,MY,1,1,1,2.324549,0,1,1,0,0,1.01E+19,1
2,1,JP,1,1,1,2.156373,0,1,1,1,0,1.53E+19,1
4,1,HK,1,1,1,30.800411,0,1,1,0,0,1.30E+19,1
0,1,US,1,0,1,1.99,1,1,1,0,0,6.36E+18,1
0,1,US,1,0,1,16.97,1,0,1,0,0,1.37E+19,1
8,1,KW,1,1,1,42.98,1,1,1,0,0,1.17E+19,1
0,0,ID,0,0,1,1.054401,0,1,1,0,0,5.37E+18,1
2,1,DE,1,1,1,19.411116,1,0,1,1,0,9.15E+17,1
0,0,US,0,0,1,14.98,0,0,1,1,0,1.70E+19,1
5,1,JP,1,1,1,400.185813,0,1,1,1,0,1.67E+19,1
0,1,US,1,1,1,1.98,1,0,1,1,0,8.64E+18,1
2,1,TW,1,1,1,6.972044,0,1,1,0,0,1.57E+19,1
3,1,DO,1,1,1,2.99,1,0,1,0,0,5.82E+18,1
1,1,JP,1,1,1,29.328422,0,1,1,0,0,3.42E+17,1
0,1,VN,1,1,1,2.114124,0,1,1,0,0,1.48E+19,1
1,1,DE,1,1,1,7.390088,0,0,1,1,0,8.15E+18,1
1,1,TR,1,1,1,1.984018,1,0,1,0,0,1.28E+19,1
2,1,ID,1,1,1,1.127404,0,1,1,0,0,7.33E+18,1
0,1,IT,1,1,1,122.480641,0,0,1,1,0,1.76E+18,1
0,0,US,1,0,1,39.97,1,0,1,0,1,1.08E+19,1
1,0,GB,1,0,0,1.260556,1,0,1,0,0,1.42E+19,1
0,1,US,1,1,1,9.99,0,0,1,1,0,6.33E+18,1
0,0,US,1,0,1,9.99,0,1,1,1,0,1.24E+19,1
1,1,ZA,1,1,1,1.169434,1,0,1,0,0,3.11E+18,1
0,0,US,1,0,1,4.97,1,0,1,0,0,3.96E+18,1
3,1,TW,1,1,1,12.883946,1,1,1,0,0,1.38E+19,1
3,1,VN,1,1,1,9.079115,0,1,1,0,0,2.17E+18,1
6,1,GB,1,1,1,53.544796,1,0,1,0,0,9.13E+17,1
0,0,US,1,0,1,8.95,0,0,1,1,0,1.10E+18,1
2,1,TW,1,1,1,20.92374,0,1,1,0,0,1.75E+19,1
2,1,FR,1,1,1,1.114376,1,0,1,0,0,2.36E+18,1
6,1,DE,1,1,1,10.075939,0,1,1,1,0,1.28E+19,1
2,1,ID,1,1,1,98.925095,1,0,1,0,0,6.42E+18,1
5,1,DE,1,1,1,53.748275,0,1,1,0,0,1.72E+19,1
5,1,TH,1,1,1,14.120177,1,0,1,0,0,1.13E+19,1
8,1,ID,1,1,1,13.767792,0,1,1,0,0,2.28E+18,1
2,1,JP,1,1,1,41.336187,0,1,1,0,0,1.70E+19,1
7,1,JP,1,1,1,184.7493,0,1,1,0,0,3.96E+18,1
8,1,HU,1,1,1,26.135519,0,1,1,0,0,1.58E+19,1
8,1,TR,1,1,1,14.600044,1,0,1,0,0,1.53E+19,1
0,0,JP,1,0,1,1.083281,0,1,1,0,0,2.74E+18,1
0,1,US,1,1,1,1.98,0,0,1,1,0,5.06E+18,1
5,1,KR,1,1,1,72.131786,1,0,1,0,0,6.23E+18,1
0,0,US,0,0,1,12.99,0,0,1,0,1,8.69E+17,1
0,1,US,1,1,1,0.99,1,0,1,1,0,3.55E+18,1
0,1,US,1,1,1,3.2,0,1,1,0,0,1.02E+19,1
0,1,RU,1,1,1,29.566514,0,1,1,0,0,7.26E+18,1
0,1,US,1,1,1,1.29,1,0,1,0,0,7.44E+18,1
0,1,US,1,1,1,20.99,0,0,1,1,0,1.15E+19,1
0,1,US,1,1,1,8.4,1,0,1,1,0,1.23E+19,1
0,1,US,1,1,1,0.99,1,0,1,0,0,8.78E+18,1
0,0,US,1,0,1,1.99,0,0,1,1,0,1.72E+19,1
2,1,BR,1,1,1,7.682565,1,0,1,0,0,7.11E+18,1
8,1,RU,1,1,1,141.062016,1,1,1,0,0,1.05E+19,1
0,0,US,1,0,1,9.94,0,0,1,1,0,1.08E+19,1
0,0,DE,1,0,1,1.222888,0,0,1,1,1,4.09E+18,1
0,1,US,1,0,1,1.99,0,1,1,1,1,1.08E+19,1
0,1,KR,1,0,1,1.069715,1,1,1,1,0,1.83E+19,1
6,1,KR,1,1,1,3.921895,0,1,1,0,0,7.38E+18,1
0,1,US,1,1,1,4.99,0,0,1,0,1,1.03E+19,1
0,0,US,1,0,1,0.99,1,0,1,1,0,2.47E+18,1
1,1,ES,1,1,1,2.240008,1,0,1,0,0,1.62E+19,1
5,1,TW,1,1,1,24.900316,0,1,1,0,0,3.29E+18,1
0,1,US,1,1,1,3.26,0,0,1,1,0,1.10E+19,1
0,0,US,1,0,1,3.99,1,0,1,1,0,2.62E+18,1
2,1,ID,1,1,1,2.257131,0,1,1,0,0,1.84E+19,1
2,1,CH,1,1,1,6.181701,0,0,1,1,0,9.81E+18,1
6,1,GB,1,1,1,69.216384,1,0,1,0,1,5.99E+18,1
2,1,RO,1,1,1,67.508733,1,0,1,0,0,1.20E+19,1
